Latin Extended-A
0x01BD	445	LATIN SMALL LETTER TONE FIVE	ƽ
0x01BE	446	LATIN LETTER INVERTED GLOTTAL STOP WITH STROKE	ƾ
0x01BF	447	LATIN LETTER WYNN	ƿ
0x01C0	448	LATIN LETTER DENTAL CLICK	ǀ
0x01C1	449	LATIN LETTER LATERAL CLICK	ǁ
0x01C2	450	LATIN LETTER ALVEOLAR CLICK	ǂ
0x01C3	451	LATIN LETTER RETROFLEX CLICK	ǃ
0x01C4	452	LATIN CAPITAL LETTER DZ WITH CARON	Ǆ
0x01C5	453	LATIN CAPITAL LETTER D WITH SMALL LETTER Z WITH CARON	ǅ
0x01C6	454	LATIN SMALL LETTER DZ WITH CARON	ǆ
0x01C7	455	LATIN CAPITAL LETTER LJ	Ǉ
0x01C8	456	LATIN CAPITAL LETTER L WITH SMALL LETTER J	ǈ
0x01C9	457	LATIN SMALL LETTER LJ	ǉ
0x01CA	458	LATIN CAPITAL LETTER NJ	Ǌ
0x01CB	459	LATIN CAPITAL LETTER N WITH SMALL LETTER J	ǋ
0x01CC	460	LATIN SMALL LETTER NJ	ǌ
0x01CD	461	LATIN CAPITAL LETTER A WITH CARON	Ǎ
0x01CE	462	LATIN SMALL LETTER A WITH CARON	ǎ
0x01CF	463	LATIN CAPITAL LETTER I WITH CARON	Ǐ
0x01D0	464	LATIN SMALL LETTER I WITH CARON	ǐ
0x01D1	465	LATIN CAPITAL LETTER O WITH CARON	Ǒ
0x01D2	466	LATIN SMALL LETTER O WITH CARON	ǒ
0x01D3	467	LATIN CAPITAL LETTER U WITH CARON	Ǔ
0x01D4	468	LATIN SMALL LETTER U WITH CARON	ǔ
0x01D5	469	LATIN CAPITAL LETTER U WITH DIAERESIS AND MACRON	Ǖ
0x01D6	470	LATIN SMALL LETTER U WITH DIAERESIS AND MACRON	ǖ
0x01D7	471	LATIN CAPITAL LETTER U WITH DIAERESIS AND ACUTE	Ǘ
0x01D8	472	LATIN SMALL LETTER U WITH DIAERESIS AND ACUTE	ǘ
0x01D9	473	LATIN CAPITAL LETTER U WITH DIAERESIS AND CARON	Ǚ
0x01DA	474	LATIN SMALL LETTER U WITH DIAERESIS AND CARON	ǚ
0x01DB	475	LATIN CAPITAL LETTER U WITH DIAERESIS AND GRAVE	Ǜ
0x01DC	476	LATIN SMALL LETTER U WITH DIAERESIS AND GRAVE	ǜ
0x01DD	477	LATIN SMALL LETTER TURNED E	ǝ
0x01DE	478	LATIN CAPITAL LETTER A WITH DIAERESIS AND MACRON	Ǟ
0x01DF	479	LATIN SMALL LETTER A WITH DIAERESIS AND MACRON	ǟ
0x01E0	480	LATIN CAPITAL LETTER A WITH DOT ABOVE AND MACRON	Ǡ
0x01E1	481	LATIN SMALL LETTER A WITH DOT ABOVE AND MACRON	ǡ
0x01E2	482	LATIN CAPITAL LETTER AE WITH MACRON	Ǣ
0x01E3	483	LATIN SMALL LETTER AE WITH MACRON	ǣ
0x01E4	484	LATIN CAPITAL LETTER G WITH STROKE	Ǥ
0x01E5	485	LATIN SMALL LETTER G WITH STROKE	ǥ
0x01E6	486	LATIN CAPITAL LETTER G WITH CARON	Ǧ
0x01E7	487	LATIN SMALL LETTER G WITH CARON	ǧ
0x01E8	488	LATIN CAPITAL LETTER K WITH CARON	Ǩ
0x01E9	489	LATIN SMALL LETTER K WITH CARON	ǩ
0x01EA	490	LATIN CAPITAL LETTER O WITH OGONEK	Ǫ
0x01EB	491	LATIN SMALL LETTER O WITH OGONEK	ǫ
0x01EC	492	LATIN CAPITAL LETTER O WITH OGONEK AND MACRON	Ǭ
0x01ED	493	LATIN SMALL LETTER O WITH OGONEK AND MACRON	ǭ
0x01EE	494	LATIN CAPITAL LETTER EZH WITH CARON	Ǯ
0x01EF	495	LATIN SMALL LETTER EZH WITH CARON	ǯ
0x01F0	496	LATIN SMALL LETTER J WITH CARON	ǰ
0x01F1	497	LATIN CAPITAL LETTER DZ	Ǳ
0x01F2	498	LATIN CAPITAL LETTER D WITH SMALL LETTER Z	ǲ
0x01F3	499	LATIN SMALL LETTER DZ	ǳ
0x01F4	500	LATIN CAPITAL LETTER G WITH ACUTE	Ǵ
0x01F5	501	LATIN SMALL LETTER G WITH ACUTE	ǵ
0x01F6	502	LATIN CAPITAL LETTER HWAIR	Ƕ
0x01F7	503	LATIN CAPITAL LETTER WYNN	Ƿ
0x01F8	504	LATIN CAPITAL LETTER N WITH GRAVE	Ǹ
0x01F9	505	LATIN SMALL LETTER N WITH GRAVE	ǹ
0x01FA	506	LATIN CAPITAL LETTER A WITH RING ABOVE AND ACUTE	Ǻ
0x01FB	507	LATIN SMALL LETTER A WITH RING ABOVE AND ACUTE	ǻ
0x01FC	508	LATIN CAPITAL LETTER AE WITH ACUTE	Ǽ
0x01FD	509	LATIN SMALL LETTER AE WITH ACUTE	ǽ
0x01FE	510	LATIN CAPITAL LETTER O WITH STROKE AND ACUTE	Ǿ
0x01FF	511	LATIN SMALL LETTER O WITH STROKE AND ACUTE	ǿ
0x0200	512	LATIN CAPITAL LETTER A WITH DOUBLE GRAVE	Ȁ
0x0201	513	LATIN SMALL LETTER A WITH DOUBLE GRAVE	ȁ
0x0202	514	LATIN CAPITAL LETTER A WITH INVERTED BREVE	Ȃ
0x0203	515	LATIN SMALL LETTER A WITH INVERTED BREVE	ȃ
0x0204	516	LATIN CAPITAL LETTER E WITH DOUBLE GRAVE	Ȅ
0x0205	517	LATIN SMALL LETTER E WITH DOUBLE GRAVE	ȅ
0x0206	518	LATIN CAPITAL LETTER E WITH INVERTED BREVE	Ȇ
0x0207	519	LATIN SMALL LETTER E WITH INVERTED BREVE	ȇ
0x0208	520	LATIN CAPITAL LETTER I WITH DOUBLE GRAVE	Ȉ
0x0209	521	LATIN SMALL LETTER I WITH DOUBLE GRAVE	ȉ
